,y_test,y_pred
4631,190287,210062.39074126005
5805,438215,368128.19292397663
6472,272416,300746.37160307576
10513,429386,430677.26666666666
10837,129324,129461.39761904762
2059,827590,791188.9514804638
8290,294557,287607.2810429677
11083,135261,138572.2
12410,140862,145489.6953246753
2119,68006,71660.56333678312
296,792034,827712.1246031746
9873,953216,907009.1
12883,263518,258921.79166666666
4284,150698,144855.17404023762
4570,89272,101964.59001732025
3130,192177,208906.3589152169
11098,148176,144636.06666666668
999,156081,182109.6183048433
666,165737,169598.6854711878
8926,283416,281941.9925389855
7030,216969,216563.09055555557
12223,184531,187446.8355969194
4817,366415,390532.92057973926
8279,276752,292157.85768076946
12515,249847,256683.9
2447,107301,105832.08047545864
2618,329312,317648.87851851847
394,122940,113254.0
3093,131223,142042.16030585024
5524,256521,270050.54396418395
12588,404706,413184.6
6419,203606,189781.17038829386
2773,112877,128692.02269144946
9969,100192,101243.3
3286,399907,382720.55332264706
10291,103586,103509.69583333333
8703,379352,387711.216191598
3212,229331,237067.7926965784
11350,129642,130513.08102212603
1487,519754,475430.8445907103
807,352048,360105.52380952385
8051,481102,480347.2510714286
2463,130341,115436.36416381953
7934,292121,255714.05663720876
11073,134136,136323.93333333332
11460,46149,45939.38476190477
1348,263524,293591.41613679216
4881,120228,112012.03002858559
9807,502387,514907.1
10215,580096,574424.6
5640,477205,482256.4
7334,171968,178762.86602213705
1204,71307,73567.67126487425
3514,304951,310164.2611709732
4692,205530,208438.89548416185
2692,485266,446066.59272115846
8459,74760,79750.54704184705
11899,165241,158118.22166666668
1070,192879,202493.53273809524
6598,531315,502803.85855019547
577,291548,294819.24703703704
13187,212878,212324.7722222222
368,80150,93084.9111111111
5806,424833,384294.45916666667
3294,388829,384794.11143562174
11306,137625,130438.04666666666
12480,241380,255496.6
10316,143789,144852.01508771928
5726,182345,197696.62619047618
4075,313986,305073.838109985
63,183101,211490.51515151517
2753,91219,96340.79699584002
7741,270006,261950.03533626357
51,191157,168497.04387254902
9441,261101,256333.63333333333
12073,61737,65200.73333333333
7598,126944,126566.93106558152
1763,439331,517966.1931122972
13125,185919,181917.03333333333
4333,254110,218188.06297684263
12579,387182,400054.26666666666
3805,527536,498611.0193869824
3278,380159,401560.7512724812
4475,451488,592641.9333333333
6123,226229,224056.17777777778
2311,217209,218583.7274841915
3627,123443,120698.85969997592
7791,403092,398104.974739024
9118,133329,130629.19996031745
377,85124,96138.73333333334
7051,245454,243085.82924908426
6172,289235,303069.80358864577
119,331161,319037.6918453541
6830,227744,236161.44290033556
3542,392765,363356.66444444447
272,836674,843625.3166666667
1372,260421,266815.53969507094
10706,123884,121694.26666666666
7237,54709,55316.00621693121
7636,210845,200967.8201787102
2608,307754,299357.87113339925
5103,415960,418628.8731314533
9614,592506,602619.2666666667
2965,367809,417450.7100749388
6197,248155,278313.38604580605
1039,189827,299175.39166666666
5517,258255,241146.3187037037
13504,226370,221478.43333333332
364,73800,76973.16666666667
5690,621583,656304.6858619086
3881,736963,742104.169217515
1042,193378,191231.64888888889
7187,511128,496866.38806610287
788,336380,338876.7743741766
12050,56289,55690.580470085464
4979,264530,253158.6244946072
13101,211624,201799.40555555554
11477,50805,48342.958333333336
6701,113752,136254.92806878305
4733,222992,218518.4153910046
10753,116854,117272.81803932179
7669,240327,242871.38091107487
7391,231056,231314.56608378023
11112,158252,157836.66666666666
1577,153615,169755.91273321034
12321,288947,287548.11047619046
4529,68108,71442.05013003333
3390,141566,174613.08000000002
2962,355746,361142.69994415046
1232,82730,97653.35177281652
12471,235899,236094.7595238095
8324,294314,289515.4432691674
1767,427363,431623.54662175593
438,169013,171172.76666666666
4844,78116,75409.11619114716
5625,431861,422933.2310329486
6814,225648,237450.1472858575
7856,122725,126434.21902033151
8861,221285,220149.35904775842
9602,622345,616865.0738888889
10010,171315,174433.7845238095
4103,310895,302085.44110422226
1279,151874,166727.76634432146
2726,71544,74727.62297214288
253,765644,790334.7911111113
3568,528858,492997.3348547957
12956,54265,54247.7243903319
7926,288680,249248.39461279463
12266,198110,196992.39905723903
6275,450729,442854.23906810244
416,160620,158998.5
10032,224640,200302.89396825398
8320,305692,290894.5288009456
8413,504447,495549.4059715544
8617,234859,234362.28786419
3809,485906,489060.18634872435
616,91410,91490.07120257313
2907,238131,239700.39026229025
3291,387587,407858.23655012157
4217,561283,548273.5922297924
12923,321375,320445.97420634923
816,365376,360003.680952381
8891,308824,284809.15756061283
11792,58274,60949.36666666667
5701,646991,647007.7333333333
2079,834802,832954.661955091
13470,184274,187411.1
2298,214845,218833.0190847206
2206,183801,192800.44376888446
7385,235744,230162.00021076438
11852,122858,141658.4
4161,448991,496076.2261558555
1629,241306,235287.84406304592
8352,347840,343908.9825661375
9980,113760,112903.7
7801,409097,407429.65868652996
12262,192418,191226.23095238095
343,60412,65107.65555555555
81,263887,231298.46666666667
13427,174136,187733.0095238095
6746,190486,193093.20436306822
471,156811,161110.66666666666
5302,246012,251700.97790959323
4245,91897,94140.378300299
12168,174294,176946.0350793651
185,428120,446416.23317460314
5797,407739,379780.1688888889
10970,129915,128108.21333333333
9091,86955,101212.1275779727
8486,96908,101459.89555213791
1166,331025,327963.86014124297
10305,133951,132751.6810165545
7882,169590,179098.71439075097
8538,190487,201134.49996929162
4483,464037,454558.406797501
11784,56858,57789.041666666664
5122,413229,392458.6
4422,300745,296604.2586898596
11313,126502,128986.70823232322
9508,330780,350293.1264682539
9426,240343,225919.7
13147,189499,190722.7998418355
4851,84254,86580.68593354682
2184,129022,147869.15063598147
10484,359886,377644.76666666666
9879,966294,953507.8888888888
7251,57467,62904.386088772335
4720,219435,221605.7470242438
11484,52423,52750.566666666666
10654,110089,105205.22222222222
5327,257406,262306.2712296003
11820,75471,74429.42460317462
8676,311025,339583.97584891616
10461,284014,294210.3333333333
1804,443391,430139.8
6196,251763,274285.2495767196
496,162401,166544.1161111111
5088,413466,402546.3941446817
6387,132007,154701.43859554298
7834,107325,113719.2
7287,79289,75968.41532106782
11059,126970,127807.72530303031
7371,210510,225866.54281990285
4480,461614,460865.2459795386
2803,163246,162647.9312773713
2321,224418,222246.20474609634
3026,61714,65420.18709623405
967,101274,116574.27734263366
6418,200269,183847.62841637692
1827,133850,131357.90581969835
13480,196171,201675.0
6361,91413,83631.84117471852
7227,504065,503168.16665519663
12975,59732,62319.899999999994
6081,133296,131132.6
7853,120264,115887.69655797101
12461,234836,227989.31666666668
2824,205044,209524.36580635642
13545,249376,246476.0076190476
8149,68910,69364.16638120459
4685,227511,210270.83814816747
6744,188616,192420.14982309414
1597,198220,189914.59996767825
3019,65486,64682.66372786648
12565,320921,312237.3333333333
5745,220388,218032.33015873015
12957,53799,54247.7243903319
5129,73718,73509.74950364445
1366,300839,284726.1706088419
8623,234395,232182.0787413389
10078,290734,278207.26666666666
10129,340006,337352.3351851852
8235,202724,199685.79688930963
7465,270521,322694.3511798115
7971,353711,316717.8591776964
13127,188404,182044.5026785714
550,243539,286252.7972222222
10572,43770,44257.50833333333
669,173966,168051.00769341007
6737,178311,206887.24975596348
11805,64137,67007.6788888889
5078,397012,407577.6653801512
11335,130825,125795.59833333334
12672,69675,71028.97333333334
1209,74310,74235.18739936476
4629,185017,210000.48978508776
12755,183091,197318.68055555556
4983,258128,253302.3343634823
12537,285353,282311.14642857143
